Ip1, Ip2, Ip3, Ip4, Phone, SurvivalTime, AverageAnswerTime, Outcome
114,235,239,76,18411,1,1.9,1
183,0,180,15,16533,21,2,1
115,201,199,247,16533,23,1.8,1
36,248,143,27,16532,44,1.9,1
1,84,8,222,16264,60,1.6,1
123,244,0,22,16228,22,2,1
1,84,8,222,17056,51,1.7,1
1,84,8,222,16253,44,1.7,1
1,84,8,222,16533,41,1.7,1
123,244,0,22,17065,1,1.7,1
27,186,3,129,16532,22,1.7,1
115,201,199,247,18411,21,1.8,1
123,244,0,22,16762,1,1.8,1
123,244,0,22,18411,23,2.1,1
223,94,70,150,15874,20,1.8,1
27,205,211,16,16264,1,1.9,1
27,205,211,16,16237,23,1.9,1
1,84,8,222,16253,76,1.6,1
115,48,57,219,17053,23,1.9,1
114,235,239,76,16253,1,1.7,1
223,94,70,150,17064,43,2,1
113,251,13,225,16753,0,2.2,1
114,235,239,76,16532,46,1.8,1
180,165,86,200,17065,2,1.8,1
27,205,211,16,16532,22,2,1
114,235,239,76,16532,25,1.8,1
27,205,211,16,15874,1,2,1
49,80,221,215,16799,0,2.2,1
123,244,0,22,16752,42,1.7,1
27,205,211,16,16533,1,1.9,1
115,48,57,219,17064,58,2.1,1
115,48,57,219,17088,55,2,1
123,244,0,22,17061,1,2,1
39,155,69,239,16750,39,1.8,1
39,155,69,239,17171,40,1.8,1
36,248,143,27,17054,19,1.8,1
49,80,221,215,16532,0,2.1,1
27,186,3,129,17053,1,1.8,1
1,84,8,222,17056,88,1.6,1
1,84,8,222,16521,31,1.8,1
1,84,8,222,16752,41,1.8,1
39,155,69,239,18411,23,1.9,1
123,244,0,22,17064,39,1.9,1
123,244,0,22,16532,40,1.9,1
114,235,239,76,17064,21,2,1
36,248,143,27,16532,40,1.8,1
39,155,69,239,17064,1,2.1,1
27,205,211,16,16753,42,1.8,1
1,84,8,222,16532,92,1.6,1
1,84,8,222,16533,94,1.6,1
27,205,211,16,16532,21,1.9,1
123,244,0,22,18411,22,1.8,1
183,0,180,15,16532,1,1.6,1
123,244,0,22,16233,20,1.7,1
121,231,181,236,17013,22,1.9,1
112,32,10,8,17064,1,1.9,1
115,48,57,219,17030,36,1.9,1
113,251,13,225,16533,22,2.2,1
39,68,237,2,18411,46,2.1,1
27,205,211,16,16534,40,2.1,1
121,231,181,236,17013,1,2.2,1
223,94,70,150,16773,2,2,1
120,42,214,253,17064,1,2.1,1
1,181,243,7,16532,60,2.6,1
27,205,211,16,16750,43,1.9,1
121,231,181,236,17013,54,1.9,1
27,205,211,16,17069,42,1.8,1
36,248,143,27,17065,42,1.8,1
180,165,86,200,16533,42,2,1
114,235,239,76,16750,1,1.9,1
39,155,69,239,16532,1,1.9,1
36,248,143,27,16533,44,1.8,1
223,94,70,150,17012,21,1.8,1
115,48,57,219,16533,129,2.1,1
115,48,57,219,16762,103,1.6,1
115,48,57,219,17088,92,2.3,1
113,118,202,197,16532,60,1.9,1
113,118,202,197,16228,65,1.8,1
39,68,237,2,16532,2,2,1
223,94,70,150,16521,43,2.1,1
114,235,239,76,17054,1,1.9,1
115,201,199,247,16233,1,2,1
223,94,70,150,16532,1,2,1
39,68,237,2,17019,19,1.5,1
36,248,143,27,17064,20,1.8,1
27,205,211,16,17100,1,1.9,1
27,205,211,16,16253,1,2,1
39,68,237,2,16533,1,1.9,1
39,68,237,2,16534,43,1.9,1
39,68,237,2,16750,40,1.9,1
39,68,237,2,17128,40,1.9,1
27,205,211,16,17023,1,1.9,1
39,155,69,239,17100,1,1.9,1
39,68,237,2,16532,21,1.9,1
1,181,243,7,17053,33,2.6,1
39,68,237,2,16229,44,1.6,1
27,186,3,129,17061,1,2.1,1
27,186,3,129,17100,2,2,1
36,248,143,27,16799,2,2,1
27,205,211,16,17056,43,1.6,1
39,68,237,2,16750,20,2.1,1
49,80,221,215,16750,0,2.2,1
114,238,76,254,15874,43,1.6,1
27,186,3,129,18411,1,2,1
49,80,221,215,16533,0,2.2,1
1,181,243,7,16537,5,2.5,1
39,155,69,239,16795,2,2.1,1
39,68,237,2,16533,1,2,1
114,238,76,254,17053,42,2,1
115,48,57,219,15874,110,2,1
115,48,57,219,16533,110,2.1,1
115,48,57,219,15874,109,2,1
115,48,57,219,15873,106,1.8,1
115,48,57,219,16533,96,1.9,1
180,165,86,200,15874,22,2,1
114,238,76,254,16521,44,1.8,1
39,68,237,2,18411,1,1.8,1
180,165,86,200,17012,21,2.1,1
114,235,239,76,16750,47,2.3,1
115,48,57,219,16532,31,1.8,1
114,235,239,76,16253,47,2.2,1
114,238,76,254,18411,1,1.7,1
114,235,239,76,17064,24,1.7,1
114,235,239,76,16533,45,2,1
182,132,199,176,17064,22,2,1
49,80,221,215,17064,21,2.2,1
1,181,243,7,17171,62,2.2,1
180,165,86,200,18411,1,2,1
27,205,211,16,16253,21,2.1,1
182,132,199,176,16799,43,2,1
223,94,70,150,16752,39,2.1,1
115,48,57,219,17053,154,1.7,1
1,181,243,7,16253,60,2.5,1
223,94,70,150,17050,1,1.9,1
114,238,76,254,17067,22,2,1
113,251,13,225,18411,22,2.1,1
36,248,143,27,18411,2,1.8,1
223,94,70,150,17017,1,2,1
49,80,221,215,16521,0,2.2,1
223,94,70,150,16532,42,1.8,1
27,186,3,129,16750,21,1.8,1
114,235,239,76,16532,23,1.9,1
182,132,199,176,15874,1,1.9,1
49,80,221,215,17064,0,2.1,1
182,132,199,176,18411,1,1.8,1
182,132,199,176,17012,1,2.1,1
